dimension,lattice_size,alpha,gamma,g^4,D(p),error,p,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_configurations,seed
3,32,1.0,1.0,2.0,0.48990480625159777,0.005692139100347371,0.9817477042468103,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.41466800792490127,0.005731186093847749,1.1780972450961724,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.35987664494875654,0.004231130707297221,1.3744467859455345,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.31713432418543774,0.0029470491943292755,1.5707963267948966,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.28331736271937935,0.0034406317660711254,1.7671458676442586,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.2527978854635275,0.0029642096181480317,1.9634954084936207,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.23739869580649908,0.002707170351262079,2.1598449493429825,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.21674669631783047,0.0022106369903972913,2.356194490192345,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.2045584140761329,0.001890546032610516,2.552544031041707,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.19963594769360965,0.0020308031690648874,2.748893571891069,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.19689291960045613,0.002250542844806145,2.945243112740431,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.1966300508437468,0.0037166538686275417,3.141592653589793,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.19689291960045613,0.002250542844806145,3.3379421944391554,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.19963594769360965,0.0020308031690648913,3.5342917352885173,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.2045584140761329,0.001890546032610516,3.730641276137879,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.21674669631783047,0.0022106369903973026,3.9269908169872414,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.23739869580649908,0.002707170351262079,4.123340357836604,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.2527978854635275,0.0029642096181480195,4.319689898685965,0.9582428571428572,10000,70000,10,30,,7000,3727701229
