g^4,gamma,p,D(p),error
5.0,1.0,0.3926990816987241,0.658214646905079,0.023811562358583685
5.0,1.0,0.5890486225480862,0.5861534871720593,0.023523693262320764
5.0,1.0,0.7853981633974483,0.5023871455845297,0.021009924688479564
5.0,1.0,0.9817477042468103,0.44612195699581625,0.018785703074858353
5.0,1.0,1.1780972450961724,0.37387363876620033,0.01840835118379257
5.0,1.0,1.3744467859455345,0.3313242860304402,0.016558597726535323
5.0,1.0,1.5707963267948966,0.30022670001434343,0.01536138497995232
5.0,1.0,1.7671458676442586,0.24522962177924632,0.015407808109679781
5.0,1.0,1.9634954084936207,0.23464313285992702,0.014460635698022558
5.0,1.0,2.1598449493429825,0.20901137392923028,0.014227109768023195
5.0,1.0,2.356194490192345,0.2056279697538605,0.013950063177359452
5.0,1.0,2.552544031041707,0.19879208705515888,0.013784028521609766
5.0,1.0,2.748893571891069,0.19602388638540555,0.013006269790316102
5.0,1.0,2.945243112740431,0.17919927812775108,0.013336141441528523
5.0,1.0,3.141592653589793,0.1911583756164438,0.01746698945452625
5.0,1.0,3.3379421944391554,0.19615186649522567,0.012645762226264757
5.0,1.0,3.5342917352885173,0.19643565550984815,0.013614272590220675
5.0,1.0,3.730641276137879,0.19696356699703826,0.014233660991780025
5.0,1.0,3.9269908169872414,0.20557925345095257,0.014183917284489702
5.0,1.0,4.123340357836604,0.21814434749299116,0.0140821960994761
5.0,1.0,4.319689898685965,0.24478600076064538,0.015492390478301232
5.0,1.0,4.516039439535327,0.2756392499233662,0.014813738520699136
5.0,1.0,4.71238898038469,0.28737578179503587,0.016527215239152453
5.0,1.0,4.908738521234052,0.3328519685448727,0.01739771929978993
5.0,1.0,5.105088062083414,0.3858928233177148,0.018494617426124755
5.0,1.0,5.301437602932776,0.4477647936333091,0.019590779514563537
5.0,1.0,5.497787143782138,0.5215985440851303,0.020270203426492713
5.0,1.0,5.6941366846315,0.5894007592744255,0.02089078248090396
5.0,1.0,5.890486225480862,0.6762586870565231,0.024478327240648252
5.0,1.0,6.086835766330224,0.6926826656351736,0.024117361701334647
10.0,1.0,0.0,0.5778310173167075,0.03193266880898759
10.0,1.0,0.196349540849362,0.588672111468348,0.023176515951054754
10.0,1.0,0.3926990816987241,0.503200648470557,0.02140653063697597
10.0,1.0,0.5890486225480862,0.4835697129515313,0.019691250523158395
10.0,1.0,0.7853981633974483,0.4067312705568814,0.020957983787734336
10.0,1.0,0.9817477042468103,0.3805490766613988,0.017239047594958572
10.0,1.0,1.1780972450961724,0.33008536917447073,0.016239912248886136
10.0,1.0,1.3744467859455345,0.2942951560164178,0.01569839850453755
10.0,1.0,1.5707963267948966,0.2642851611251943,0.015114417598176179
10.0,1.0,1.7671458676442586,0.2479113294936997,0.01370393251267162
10.0,1.0,1.9634954084936207,0.21997279626488836,0.014062203831016865
10.0,1.0,2.1598449493429825,0.2064956577172031,0.013145422791817766
10.0,1.0,2.356194490192345,0.20096373524849465,0.012566688855643228
10.0,1.0,2.552544031041707,0.19212960262818515,0.012954995252557448
10.0,1.0,2.748893571891069,0.18507508730258665,0.012507289704119023
10.0,1.0,2.945243112740431,0.18134955804102781,0.012302595703739328
10.0,1.0,3.141592653589793,0.16512599186970994,0.01744705824771041
10.0,1.0,3.3379421944391554,0.1809406536445703,0.012220108434011832
10.0,1.0,3.5342917352885173,0.178350459274941,0.011695270233296026
10.0,1.0,3.730641276137879,0.18704027372126214,0.013188211221414873
10.0,1.0,3.9269908169872414,0.19747457656542122,0.012282831637541288
10.0,1.0,4.123340357836604,0.21646565071301963,0.01194714781514099
10.0,1.0,4.319689898685965,0.20760319607377636,0.012808695463689429
10.0,1.0,4.516039439535327,0.24972672375245522,0.01375164836916094
10.0,1.0,4.71238898038469,0.272388723658305,0.014988725011335618
10.0,1.0,4.908738521234052,0.29726680988367166,0.01653104722185993
10.0,1.0,5.105088062083414,0.329171428202772,0.017416318902630585
10.0,1.0,5.301437602932776,0.3912401164029744,0.01860660955407402
10.0,1.0,5.497787143782138,0.4114354372980321,0.020583550782206795
10.0,1.0,5.6941366846315,0.4937005092484792,0.019353297386877567
10.0,1.0,5.890486225480862,0.5401497225038577,0.02173718355690228
