dimension,lattice_size,alpha,gamma,g^4,D(p),error,p,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_configurations,seed
2,32,1.0,1.0,1.0,0.866499611955865,0.011176613132965483,0.19634954084936207,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.7895809671672861,0.01071403980290201,0.39269908169872414,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.6959363478538009,0.008949476910441208,0.5890486225480862,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.5854676408531385,0.007769100688612493,0.7853981633974483,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.5031790553646301,0.007753306198228677,0.9817477042468103,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.42097590274780955,0.004772330537961556,1.1780972450961724,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.36775144002208127,0.005294616183345039,1.3744467859455345,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.3260082372206294,0.004252595765118232,1.5707963267948966,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.2860364443549194,0.0038921376608971408,1.7671458676442586,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.2560175760966223,0.0030160972376902,1.9634954084936207,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.23683443533970572,0.0027926807819116787,2.1598449493429825,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.21975211847328638,0.00265662942715671,2.356194490192345,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.20532724859529472,0.0026695939891629955,2.552544031041707,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.20171475085554308,0.0027818070844194626,2.748893571891069,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.19872323454700064,0.002701432343827751,2.945243112740431,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.19016578601000478,0.0031752719339385896,3.141592653589793,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.19872323454700064,0.002701432343827751,3.3379421944391554,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.20171475085554308,0.0027818070844194535,3.5342917352885173,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.20532724859529472,0.0026695939891629955,3.730641276137879,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.21975211847328638,0.002656629427156714,3.9269908169872414,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.23683443533970572,0.0027926807819116787,4.123340357836604,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.2560175760966223,0.0030160972376902,4.319689898685965,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.2860364443549194,0.0038921376608971408,4.516039439535327,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.3260082372206294,0.004252595765118232,4.71238898038469,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.36775144002208127,0.005294616183345039,4.908738521234052,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.4209759027478095,0.00477233053796152,5.105088062083414,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.5031790553646301,0.007753306198228677,5.301437602932776,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.5854676408531385,0.007769100688612494,5.497787143782138,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.6959363478538009,0.008949476910441208,5.6941366846315,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.789580967167286,0.01071403980290201,5.890486225480862,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,1.0,0.866499611955865,0.011176613132965483,6.086835766330224,0.97385,5000,60000,10,20,,6000,3717727891
2,32,1.0,1.0,2.0,0.7978224532442364,0.014629689750598855,0.0,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.7787500923370021,0.010113794540557127,0.19634954084936207,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.7321082514182664,0.009402630673689487,0.39269908169872414,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.6437987891867916,0.007995840482990062,0.5890486225480862,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.5431216220520027,0.0069934468208891504,0.7853981633974483,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.4778064922048881,0.005946008837351452,0.9817477042468103,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.4025704278319358,0.005403813524706339,1.1780972450961724,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.35411787840490044,0.004199132545363351,1.3744467859455345,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.30972143050862855,0.003913760658859943,1.5707963267948966,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.27744778903319867,0.003678499072652905,1.7671458676442586,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.2519651083724072,0.003232535773100861,1.9634954084936207,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.22906942056644017,0.0029430630572725614,2.1598449493429825,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.21308357616045584,0.0027950264799113567,2.356194490192345,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.20331311444534458,0.0025692003799892213,2.552544031041707,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.20265513022708617,0.0028576996630361355,2.748893571891069,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.19386795451264258,0.002532738190974121,2.945243112740431,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.18732774840588143,0.0030657008929809455,3.141592653589793,0.9741833333333333,5000,60000,10,20,,6000,377567121
2,32,1.0,1.0,2.0,0.19386795451264258,0.002532738190974121,3.3379421944391554,0.9741833333333333,5000,60000,10,20,,6000,377567121
