g^4,gamma,p,D(p),error
10.0,1.0,2.552544031041707,0.1921296026281851,0.0129549952525574
10.0,1.0,2.748893571891069,0.1850750873025866,0.012507289704119
10.0,1.0,2.945243112740431,0.1813495580410278,0.0123025957037393
10.0,1.0,3.141592653589793,0.1651259918697099,0.0174470582477104
10.0,1.0,3.3379421944391554,0.1809406536445703,0.0122201084340118
10.0,1.0,3.5342917352885173,0.178350459274941,0.011695270233296
10.0,1.0,3.730641276137879,0.1870402737212621,0.0131882112214148
10.0,1.0,3.9269908169872414,0.1974745765654212,0.0122828316375412
10.0,1.0,4.123340357836604,0.2164656507130196,0.0119471478151409
10.0,1.0,4.319689898685965,0.2076031960737763,0.0128086954636894
10.0,1.0,4.516039439535327,0.2497267237524552,0.0137516483691609
10.0,1.0,4.71238898038469,0.272388723658305,0.0149887250113356
10.0,1.0,4.908738521234052,0.2972668098836716,0.0165310472218599
10.0,1.0,5.105088062083414,0.329171428202772,0.0174163189026305
10.0,1.0,5.301437602932776,0.3912401164029744,0.018606609554074
10.0,1.0,5.497787143782138,0.4114354372980321,0.0205835507822067
10.0,1.0,5.6941366846315,0.4937005092484792,0.0193532973868775
10.0,1.0,5.890486225480862,0.5401497225038577,0.0217371835569022
10.0,1.0,6.086835766330224,0.581076497963477,0.0226962253327217
40.0,1.0,0.0,0.3127969340732108,0.0222032601356304
40.0,1.0,0.196349540849362,0.3086016506557875,0.0170017674410577
40.0,1.0,0.3926990816987241,0.3080446300676933,0.0152891056597021
40.0,1.0,0.5890486225480862,0.2910938686318851,0.0148001430752752
40.0,1.0,0.7853981633974483,0.269023455339539,0.0135834837162475
40.0,1.0,0.9817477042468103,0.2517391376539508,0.0142239073001324
40.0,1.0,1.1780972450961724,0.225448817626122,0.0139987615839632
40.0,1.0,1.3744467859455345,0.2102206067974513,0.0135513214286925
40.0,1.0,1.5707963267948966,0.204467354382356,0.0128901898682531
40.0,1.0,1.7671458676442586,0.1811983095028545,0.0120491937880495
40.0,1.0,1.9634954084936207,0.1782947661516238,0.0109721379795608
40.0,1.0,2.1598449493429825,0.1631596177863598,0.0117110510752254
40.0,1.0,2.356194490192345,0.1507038009675028,0.0110110914682847
40.0,1.0,2.552544031041707,0.1515454698251423,0.0108497094533337
40.0,1.0,2.748893571891069,0.1354373128466884,0.0109678396512042
40.0,1.0,2.945243112740431,0.1418682115937951,0.0105027489562172
40.0,1.0,3.141592653589793,0.1394442651712969,0.0145766401082458
40.0,1.0,3.3379421944391554,0.1337852871817789,0.0101176985749138
40.0,1.0,3.5342917352885173,0.1450236440494471,0.0110776990784967
40.0,1.0,3.730641276137879,0.1506304302761187,0.0112865230250948
40.0,1.0,3.9269908169872414,0.1554843479614295,0.0106107814932869
40.0,1.0,4.123340357836604,0.1627010255501672,0.0108736028153257
40.0,1.0,4.319689898685965,0.1637415014653756,0.0116555376201573
40.0,1.0,4.516039439535327,0.1841710449645112,0.012317661370782
40.0,1.0,4.71238898038469,0.1896574526749196,0.0125497829407811
40.0,1.0,4.908738521234052,0.2199422309686149,0.013133898695093
40.0,1.0,5.105088062083414,0.2398363926422125,0.0134843393349101
40.0,1.0,5.301437602932776,0.2432509034179776,0.0146636601071217
40.0,1.0,5.497787143782138,0.2796001413776609,0.0151666767681747
40.0,1.0,5.6941366846315,0.2803987549159663,0.0141049275780072
40.0,1.0,5.890486225480862,0.2982257322276958,0.0149338706140396
40.0,1.0,6.086835766330224,0.3210491211077687,0.0154327340134592
